name,age,nationality,gender,pronouns,aliases
Adele,37,British,female,,
Chimamanda Ngozi Adichie,48,Nigerian,female,,
Shaheen Afridi,26,Pakistani,male,,
Malik Al-Ali'e,22,Yemeni,male,,
Arwa Al-Hujaili,38,Saudi,female,,
Najla Al-Midfa,46,Emirati,female,,
Grand Ayatollah Ali al-Sistani,95,Iraqi,male,,
Travis Alabanza,30,British,non-binary,,
Carlos Alcaraz,22,Spanish,male,,
Sam Altman,40,American,male,,
Tobi Amusan,29,Nigerian,female,,
Ana de Armas,37,Cuban,female,,
Dina Asher-Smith,30,British,female,,
David Attenborough,99,British,male,,
Soufiane El Bakkali,30,Moroccan,male,,
Janani Balasubramanian,35,Indian,non-binary,,
Xiye Bastida,24,Mexican,female,,
Nathalie Becquart,57,French,female,,
Beyoncé,44,American,female,,
Jeff Bezos,62,American,male,,
Joe Biden,83,American,male,,
Justin Bieber,32,Canadian,male,,
Simone Biles,29,American,female,,
Bimini Bon-Boulash,32,British,non-binary,,
Gabriel Boric,40,Chilean,male,,
Sky Brown,17,Universal,female,,
Nayib Bukele,44,Salvadoran,male,,
Bad Bunny,32,Puerto Rican,male,,
Vitalik Buterin,32,Universal,male,,
Linda Caicedo,21,Colombian,female,,
Zuzana Čaputová,52,Slovak,female,,
Ino Casablanca,29,Moroccan,male,,
Timothée Chalamet,30,French,male,,
Giga Chicadze,37,Georgian,male,,
Tony Leung Chiu-wai,63,Hong Konger,male,,
Neeraj Chopra,28,Indian,male,,
Priyanka Chopra,43,Indian,female,,
Jay Chou,47,Taiwanese,male,,
Caitlin Clark,24,American,female,,
Jacob Collier,31,British,male,,
Tim Cook,65,American,male,,
Shea Couleé,37,American,non-binary,,
"Tyler, the Creator",35,American,male,,
Tom Cruise,63,American,male,,
Emma D'Arcy,33,British,non-binary,,
Dandapani,48,Universal,male,,
Tsitsi Dangarembga,50,Zimbabwean,female,,
Alphonso Davies,25,Universal,male,,
Viola Davis,60,American,female,,
Olivia Dean,27,British,female,,
Glennon Doyle,50,American,female,,
Drake,39,Canadian,male,,
Billie Eilish,24,American,female,,
